id,"measure","response",year,"organisation","group",score
1,"EEI","P",2010,"CS","A",56
2,"MW","P",2010,"CS","A",71
3,"OP","P",2010,"CS","A",81
4,"LM","P",2010,"CS","A",64
5,"MT","P",2010,"CS","A",77
6,"LD","P",2010,"CS","A",43
7,"IF","P",2010,"CS","A",73
8,"RW","P",2010,"CS","A",73
9,"PB","P",2010,"CS","A",37
10,"LC","P",2010,"CS","A",37
11,"B01","P",2010,"CS","A",89
12,"B02","P",2010,"CS","A",73
13,"B03","P",2010,"CS","A",72
14,"B04","P",2010,"CS","A",49
15,"B05","P",2010,"CS","A",70
16,"B06","P",2010,"CS","A",84
17,"B07","P",2010,"CS","A",78
18,"B08","P",2010,"CS","A",80
19,"B09","P",2010,"CS","A",62
20,"B10","P",2010,"CS","A",78
21,"B11","P",2010,"CS","A",77
22,"B12","P",2010,"CS","A",58
23,"B13","P",2010,"CS","A",69
24,"B14","P",2010,"CS","A",77
25,"B15","P",2010,"CS","A",60
26,"B16","P",2010,"CS","A",57
27,"B17","P",2010,"CS","A",62
28,"B18","P",2010,"CS","A",37
29,"B19","P",2010,"CS","A",83
30,"B20","P",2010,"CS","A",78
31,"B21","P",2010,"CS","A",70
32,"B22","P",2010,"CS","A",55
33,"B23","P",2010,"CS","A",48
34,"B24","P",2010,"CS","A",28
35,"B25","P",2010,"CS","A",41
36,"B26","P",2010,"CS","A",78
37,"B27","P",2010,"CS","A",84
38,"B28","P",2010,"CS","A",60
39,"B29","P",2010,"CS","A",71
40,"B30","P",2010,"CS","A",82
41,"B31","P",2010,"CS","A",67
42,"B32","P",2010,"CS","A",74
43,"B33","P",2010,"CS","A",88
44,"B34","P",2010,"CS","A",72
45,"B35","P",2010,"CS","A",62
46,"B36","P",2010,"CS","A",70
47,"B37","P",2010,"CS","A",38
48,"B38","P",2010,"CS","A",39
49,"B39","P",2010,"CS","A",31
50,"B40","P",2010,"CS","A",41
51,"B41","P",2010,"CS","A",45
52,"B42","P",2010,"CS","A",39
53,"B43","P",2010,"CS","A",35
54,"B44","P",2010,"CS","A",36
55,"B45","P",2010,"CS","A",27
56,"B46","P",2010,"CS","A",23
57,"B47","P",2010,"CS","A",54
58,"B48","P",2010,"CS","A",32
59,"B49","P",2010,"CS","A",39
60,"B50","P",2010,"CS","A",55
61,"B51","P",2010,"CS","A",42
62,"B52","P",2010,"CS","A",46
63,"B53","P",2010,"CS","A",39
64,"B54","P",2010,"CS","A",36
65,"B55","P",2010,"CS","A",38
66,"B56","P",2010,"CS","A",46
67,"C01","P",2010,"CS","A",83
68,"C02","P",2010,"CS","A",78
69,"E01","P",2010,"CS","A",81
70,"E02","P",2010,"CS","A",53
71,"E03","P",2010,"CS","A",62
72,"F01","P",2010,"CS","A",10
73,"F03","P",2010,"CS","A",10
74,"EEI","P",2010,"AGO","A",73
75,"MW","P",2010,"AGO","A",80
76,"OP","P",2010,"AGO","A",90
77,"LM","P",2010,"AGO","A",79
78,"MT","P",2010,"AGO","A",91
79,"LD","P",2010,"AGO","A",46
80,"IF","P",2010,"AGO","A",87
81,"RW","P",2010,"AGO","A",84
82,"PB","P",2010,"AGO","A",32
83,"LC","P",2010,"AGO","A",64
84,"B01","P",2010,"AGO","A",91
85,"B02","P",2010,"AGO","A",76
86,"B03","P",2010,"AGO","A",79
87,"B04","P",2010,"AGO","A",76
88,"B05","P",2010,"AGO","A",76
89,"B06","P",2010,"AGO","A",91
90,"B07","P",2010,"AGO","A",91
91,"B08","P",2010,"AGO","A",88
92,"B09","P",2010,"AGO","A",76
93,"B10","P",2010,"AGO","A",91
94,"B11","P",2010,"AGO","A",91
95,"B12","P",2010,"AGO","A",76
96,"B13","P",2010,"AGO","A",85
97,"B14","P",2010,"AGO","A",88
98,"B15","P",2010,"AGO","A",79
99,"B16","P",2010,"AGO","A",69
100,"B17","P",2010,"AGO","A",72
101,"B18","P",2010,"AGO","A",55
102,"B19","P",2010,"AGO","A",97
103,"B20","P",2010,"AGO","A",91
104,"B21","P",2010,"AGO","A",85
105,"B22","P",2010,"AGO","A",62
106,"B23","P",2010,"AGO","A",50
107,"B24","P",2010,"AGO","A",24
108,"B25","P",2010,"AGO","A",48
109,"B26","P",2010,"AGO","A",91
110,"B27","P",2010,"AGO","A",91
111,"B28","P",2010,"AGO","A",79
112,"B29","P",2010,"AGO","A",85
113,"B30","P",2010,"AGO","A",91
114,"B31","P",2010,"AGO","A",82
115,"B32","P",2010,"AGO","A",88
116,"B33","P",2010,"AGO","A",97
117,"B34","P",2010,"AGO","A",85
118,"B35","P",2010,"AGO","A",68
119,"B36","P",2010,"AGO","A",74
120,"B37","P",2010,"AGO","A",38
121,"B38","P",2010,"AGO","A",33
122,"B39","P",2010,"AGO","A",24
123,"B40","P",2010,"AGO","A",74
124,"B41","P",2010,"AGO","A",79
125,"B42","P",2010,"AGO","A",65
126,"B43","P",2010,"AGO","A",59
127,"B44","P",2010,"AGO","A",59
128,"B45","P",2010,"AGO","A",67
129,"B46","P",2010,"AGO","A",42
130,"B47","P",2010,"AGO","A",71
131,"B48","P",2010,"AGO","A",65
132,"B49","P",2010,"AGO","A",62
133,"B50","P",2010,"AGO","A",82
134,"B51","P",2010,"AGO","A",79
135,"B52","P",2010,"AGO","A",73
136,"B53","P",2010,"AGO","A",82
137,"B54","P",2010,"AGO","A",76
138,"B55","P",2010,"AGO","A",71
139,"B56","P",2010,"AGO","A",74
140,"C01","P",2010,"AGO","A",97
141,"C02","P",2010,"AGO","A",100
142,"E01","P",2010,"AGO","A",97
143,"E02","P",2010,"AGO","A",82
144,"E03","P",2010,"AGO","A",91
145,"F01","P",2010,"AGO","A",3
146,"F03","P",2010,"AGO","A",0
147,"EEI","P",2010,"CPS","A",53
148,"MW","P",2010,"CPS","A",66
149,"OP","P",2010,"CPS","A",86
150,"LM","P",2010,"CPS","A",53
151,"MT","P",2010,"CPS","A",68
152,"LD","P",2010,"CPS","A",35
153,"IF","P",2010,"CPS","A",63
154,"RW","P",2010,"CPS","A",65
155,"PB","P",2010,"CPS","A",37
156,"LC","P",2010,"CPS","A",27
157,"B01","P",2010,"CPS","A",90
158,"B02","P",2010,"CPS","A",76
159,"B03","P",2010,"CPS","A",72
160,"B04","P",2010,"CPS","A",41
161,"B05","P",2010,"CPS","A",50
162,"B06","P",2010,"CPS","A",88
163,"B07","P",2010,"CPS","A",84
164,"B08","P",2010,"CPS","A",85
165,"B09","P",2010,"CPS","A",51
166,"B10","P",2010,"CPS","A",64
167,"B11","P",2010,"CPS","A",64
168,"B12","P",2010,"CPS","A",53
169,"B13","P",2010,"CPS","A",57
170,"B14","P",2010,"CPS","A",65
171,"B15","P",2010,"CPS","A",49
172,"B16","P",2010,"CPS","A",46
173,"B17","P",2010,"CPS","A",51
174,"B18","P",2010,"CPS","A",28
175,"B19","P",2010,"CPS","A",76
176,"B20","P",2010,"CPS","A",70
177,"B21","P",2010,"CPS","A",57
178,"B22","P",2010,"CPS","A",47
179,"B23","P",2010,"CPS","A",41
180,"B24","P",2010,"CPS","A",20
181,"B25","P",2010,"CPS","A",31
182,"B26","P",2010,"CPS","A",67
183,"B27","P",2010,"CPS","A",77
184,"B28","P",2010,"CPS","A",47
185,"B29","P",2010,"CPS","A",62
186,"B30","P",2010,"CPS","A",81
187,"B31","P",2010,"CPS","A",57
188,"B32","P",2010,"CPS","A",70
189,"B33","P",2010,"CPS","A",86
190,"B34","P",2010,"CPS","A",58
191,"B35","P",2010,"CPS","A",45
192,"B36","P",2010,"CPS","A",54
193,"B37","P",2010,"CPS","A",37
194,"B38","P",2010,"CPS","A",39
195,"B39","P",2010,"CPS","A",36
196,"B40","P",2010,"CPS","A",28
197,"B41","P",2010,"CPS","A",33
198,"B42","P",2010,"CPS","A",34
199,"B43","P",2010,"CPS","A",28
200,"B44","P",2010,"CPS","A",26
201,"B45","P",2010,"CPS","A",19
202,"B46","P",2010,"CPS","A",14
203,"B47","P",2010,"CPS","A",38
204,"B48","P",2010,"CPS","A",24
205,"B49","P",2010,"CPS","A",26
206,"B50","P",2010,"CPS","A",47
207,"B51","P",2010,"CPS","A",30
208,"B52","P",2010,"CPS","A",48
209,"B53","P",2010,"CPS","A",35
210,"B54","P",2010,"CPS","A",31
211,"B55","P",2010,"CPS","A",28
212,"B56","P",2010,"CPS","A",34
213,"C01","P",2010,"CPS","A",81
214,"C02","P",2010,"CPS","A",85
215,"E01","P",2010,"CPS","A",74
216,"E02","P",2010,"CPS","A",46
217,"E03","P",2010,"CPS","A",48
218,"F01","P",2010,"CPS","A",13
219,"F03","P",2010,"CPS","A",12
220,"EEI","P",2010,"HMCPSI","A",47
221,"MW","P",2010,"HMCPSI","A",57
222,"OP","P",2010,"HMCPSI","A",69
223,"LM","P",2010,"HMCPSI","A",50
224,"MT","P",2010,"HMCPSI","A",71
225,"LD","P",2010,"HMCPSI","A",31
226,"IF","P",2010,"HMCPSI","A",55
227,"RW","P",2010,"HMCPSI","A",60
228,"PB","P",2010,"HMCPSI","A",39
229,"LC","P",2010,"HMCPSI","A",28
230,"B01","P",2010,"HMCPSI","A",90
231,"B02","P",2010,"HMCPSI","A",60
232,"B03","P",2010,"HMCPSI","A",60
233,"B04","P",2010,"HMCPSI","A",30
234,"B05","P",2010,"HMCPSI","A",43
235,"B06","P",2010,"HMCPSI","A",80
236,"B07","P",2010,"HMCPSI","A",67
237,"B08","P",2010,"HMCPSI","A",60
238,"B09","P",2010,"HMCPSI","A",53
239,"B10","P",2010,"HMCPSI","A",67
240,"B11","P",2010,"HMCPSI","A",63
241,"B12","P",2010,"HMCPSI","A",37
242,"B13","P",2010,"HMCPSI","A",47
243,"B14","P",2010,"HMCPSI","A",60
244,"B15","P",2010,"HMCPSI","A",43
245,"B16","P",2010,"HMCPSI","A",47
246,"B17","P",2010,"HMCPSI","A",57
247,"B18","P",2010,"HMCPSI","A",23
248,"B19","P",2010,"HMCPSI","A",90
249,"B20","P",2010,"HMCPSI","A",87
250,"B21","P",2010,"HMCPSI","A",37
251,"B22","P",2010,"HMCPSI","A",37
252,"B23","P",2010,"HMCPSI","A",50
253,"B24","P",2010,"HMCPSI","A",7
254,"B25","P",2010,"HMCPSI","A",30
255,"B26","P",2010,"HMCPSI","A",62
256,"B27","P",2010,"HMCPSI","A",87
257,"B28","P",2010,"HMCPSI","A",27
258,"B29","P",2010,"HMCPSI","A",47
259,"B30","P",2010,"HMCPSI","A",60
260,"B31","P",2010,"HMCPSI","A",30
261,"B32","P",2010,"HMCPSI","A",47
262,"B33","P",2010,"HMCPSI","A",90
263,"B34","P",2010,"HMCPSI","A",77
264,"B35","P",2010,"HMCPSI","A",60
265,"B36","P",2010,"HMCPSI","A",57
266,"B37","P",2010,"HMCPSI","A",40
267,"B38","P",2010,"HMCPSI","A",37
268,"B39","P",2010,"HMCPSI","A",40
269,"B40","P",2010,"HMCPSI","A",30
270,"B41","P",2010,"HMCPSI","A",20
271,"B42","P",2010,"HMCPSI","A",23
272,"B43","P",2010,"HMCPSI","A",33
273,"B44","P",2010,"HMCPSI","A",30
274,"B45","P",2010,"HMCPSI","A",23
275,"B46","P",2010,"HMCPSI","A",27
276,"B47","P",2010,"HMCPSI","A",30
277,"B48","P",2010,"HMCPSI","A",33
278,"B49","P",2010,"HMCPSI","A",27
279,"B50","P",2010,"HMCPSI","A",30
280,"B51","P",2010,"HMCPSI","A",10
281,"B52","P",2010,"HMCPSI","A",30
282,"B53","P",2010,"HMCPSI","A",30
283,"B54","P",2010,"HMCPSI","A",27
284,"B55","P",2010,"HMCPSI","A",27
285,"B56","P",2010,"HMCPSI","A",43
286,"C01","P",2010,"HMCPSI","A",83
287,"C02","P",2010,"HMCPSI","A",83
288,"E01","P",2010,"HMCPSI","A",93
289,"E02","P",2010,"HMCPSI","A",57
290,"E03","P",2010,"HMCPSI","A",43
291,"F01","P",2010,"HMCPSI","A",3
292,"F03","P",2010,"HMCPSI","A",3
293,"EEI","P",2010,"SFO","A",51
294,"MW","P",2010,"SFO","A",65
295,"OP","P",2010,"SFO","A",70
296,"LM","P",2010,"SFO","A",56
297,"MT","P",2010,"SFO","A",68
298,"LD","P",2010,"SFO","A",32
299,"IF","P",2010,"SFO","A",57
300,"RW","P",2010,"SFO","A",63
301,"PB","P",2010,"SFO","A",24
302,"LC","P",2010,"SFO","A",18
303,"B01","P",2010,"SFO","A",90
304,"B02","P",2010,"SFO","A",68
305,"B03","P",2010,"SFO","A",69
306,"B04","P",2010,"SFO","A",36
307,"B05","P",2010,"SFO","A",62
308,"B06","P",2010,"SFO","A",78
309,"B07","P",2010,"SFO","A",63
310,"B08","P",2010,"SFO","A",70
311,"B09","P",2010,"SFO","A",54
312,"B10","P",2010,"SFO","A",76
313,"B11","P",2010,"SFO","A",76
314,"B12","P",2010,"SFO","A",43
315,"B13","P",2010,"SFO","A",64
316,"B14","P",2010,"SFO","A",69
317,"B15","P",2010,"SFO","A",46
318,"B16","P",2010,"SFO","A",47
319,"B17","P",2010,"SFO","A",51
320,"B18","P",2010,"SFO","A",31
321,"B19","P",2010,"SFO","A",76
322,"B20","P",2010,"SFO","A",66
323,"B21","P",2010,"SFO","A",61
324,"B22","P",2010,"SFO","A",28
325,"B23","P",2010,"SFO","A",37
326,"B24","P",2010,"SFO","A",27
327,"B25","P",2010,"SFO","A",35
328,"B26","P",2010,"SFO","A",57
329,"B27","P",2010,"SFO","A",73
330,"B28","P",2010,"SFO","A",42
331,"B29","P",2010,"SFO","A",58
332,"B30","P",2010,"SFO","A",73
333,"B31","P",2010,"SFO","A",49
334,"B32","P",2010,"SFO","A",54
335,"B33","P",2010,"SFO","A",86
336,"B34","P",2010,"SFO","A",53
337,"B35","P",2010,"SFO","A",59
338,"B36","P",2010,"SFO","A",68
339,"B37","P",2010,"SFO","A",27
340,"B38","P",2010,"SFO","A",26
341,"B39","P",2010,"SFO","A",20
342,"B40","P",2010,"SFO","A",18
343,"B41","P",2010,"SFO","A",17
344,"B42","P",2010,"SFO","A",18
345,"B43","P",2010,"SFO","A",23
346,"B44","P",2010,"SFO","A",18
347,"B45","P",2010,"SFO","A",15
348,"B46","P",2010,"SFO","A",18
349,"B47","P",2010,"SFO","A",26
350,"B48","P",2010,"SFO","A",15
351,"B49","P",2010,"SFO","A",16
352,"B50","P",2010,"SFO","A",58
353,"B51","P",2010,"SFO","A",28
354,"B52","P",2010,"SFO","A",51
355,"B53","P",2010,"SFO","A",34
356,"B54","P",2010,"SFO","A",29
357,"B55","P",2010,"SFO","A",19
358,"B56","P",2010,"SFO","A",29
359,"C01","P",2010,"SFO","A",80
360,"C02","P",2010,"SFO","A",81
361,"E01","P",2010,"SFO","A",77
362,"E02","P",2010,"SFO","A",40
363,"E03","P",2010,"SFO","A",36
364,"F01","P",2010,"SFO","A",21
365,"F03","P",2010,"SFO","A",22
366,"EEI","P",2010,"TSOL","A",62
367,"MW","P",2010,"TSOL","A",74
368,"OP","P",2010,"TSOL","A",83
369,"LM","P",2010,"TSOL","A",69
370,"MT","P",2010,"TSOL","A",77
371,"LD","P",2010,"TSOL","A",53
372,"IF","P",2010,"TSOL","A",77
373,"RW","P",2010,"TSOL","A",76
374,"PB","P",2010,"TSOL","A",28
375,"LC","P",2010,"TSOL","A",45
376,"B01","P",2010,"TSOL","A",90
377,"B02","P",2010,"TSOL","A",81
378,"B03","P",2010,"TSOL","A",78
379,"B04","P",2010,"TSOL","A",50
380,"B05","P",2010,"TSOL","A",71
381,"B06","P",2010,"TSOL","A",86
382,"B07","P",2010,"TSOL","A",82
383,"B08","P",2010,"TSOL","A",81
384,"B09","P",2010,"TSOL","A",69
385,"B10","P",2010,"TSOL","A",84
386,"B11","P",2010,"TSOL","A",81
387,"B12","P",2010,"TSOL","A",60
388,"B13","P",2010,"TSOL","A",77
389,"B14","P",2010,"TSOL","A",80
390,"B15","P",2010,"TSOL","A",65
391,"B16","P",2010,"TSOL","A",64
392,"B17","P",2010,"TSOL","A",67
393,"B18","P",2010,"TSOL","A",39
394,"B19","P",2010,"TSOL","A",84
395,"B20","P",2010,"TSOL","A",80
396,"B21","P",2010,"TSOL","A",69
397,"B22","P",2010,"TSOL","A",71
398,"B23","P",2010,"TSOL","A",63
399,"B24","P",2010,"TSOL","A",32
400,"B25","P",2010,"TSOL","A",48
401,"B26","P",2010,"TSOL","A",81
402,"B27","P",2010,"TSOL","A",85
403,"B28","P",2010,"TSOL","A",64
404,"B29","P",2010,"TSOL","A",78
405,"B30","P",2010,"TSOL","A",86
406,"B31","P",2010,"TSOL","A",73
407,"B32","P",2010,"TSOL","A",77
408,"B33","P",2010,"TSOL","A",92
409,"B34","P",2010,"TSOL","A",72
410,"B35","P",2010,"TSOL","A",61
411,"B36","P",2010,"TSOL","A",69
412,"B37","P",2010,"TSOL","A",30
413,"B38","P",2010,"TSOL","A",31
414,"B39","P",2010,"TSOL","A",22
415,"B40","P",2010,"TSOL","A",56
416,"B41","P",2010,"TSOL","A",57
417,"B42","P",2010,"TSOL","A",49
418,"B43","P",2010,"TSOL","A",48
419,"B44","P",2010,"TSOL","A",45
420,"B45","P",2010,"TSOL","A",38
421,"B46","P",2010,"TSOL","A",27
422,"B47","P",2010,"TSOL","A",63
423,"B48","P",2010,"TSOL","A",30
424,"B49","P",2010,"TSOL","A",36
425,"B50","P",2010,"TSOL","A",64
426,"B51","P",2010,"TSOL","A",55
427,"B52","P",2010,"TSOL","A",49
428,"B53","P",2010,"TSOL","A",46
429,"B54","P",2010,"TSOL","A",43
430,"B55","P",2010,"TSOL","A",50
431,"B56","P",2010,"TSOL","A",54
432,"C01","P",2010,"TSOL","A",90
433,"C02","P",2010,"TSOL","A",89
434,"E01","P",2010,"TSOL","A",92
435,"E02","P",2010,"TSOL","A",59
436,"E03","P",2010,"TSOL","A",76
437,"F01","P",2010,"TSOL","A",8
438,"F03","P",2010,"TSOL","A",10
439,"EEI","P",2010,"BIS","A",50
440,"MW","P",2010,"BIS","A",71
441,"OP","P",2010,"BIS","A",73
442,"LM","P",2010,"BIS","A",66
443,"MT","P",2010,"BIS","A",78
444,"LD","P",2010,"BIS","A",43
445,"IF","P",2010,"BIS","A",74
446,"RW","P",2010,"BIS","A",71
447,"PB","P",2010,"BIS","A",29
448,"LC","P",2010,"BIS","A",36
449,"B01","P",2010,"BIS","A",88
450,"B02","P",2010,"BIS","A",75
451,"B03","P",2010,"BIS","A",70
452,"B04","P",2010,"BIS","A",51
453,"B05","P",2010,"BIS","A",73
454,"B06","P",2010,"BIS","A",75
455,"B07","P",2010,"BIS","A",68
456,"B08","P",2010,"BIS","A",76
457,"B09","P",2010,"BIS","A",65
458,"B10","P",2010,"BIS","A",82
459,"B11","P",2010,"BIS","A",80
460,"B12","P",2010,"BIS","A",57
461,"B13","P",2010,"BIS","A",73
462,"B14","P",2010,"BIS","A",78
463,"B15","P",2010,"BIS","A",60
464,"B16","P",2010,"BIS","A",60
465,"B17","P",2010,"BIS","A",65
466,"B18","P",2010,"BIS","A",38
467,"B19","P",2010,"BIS","A",83
468,"B20","P",2010,"BIS","A",78
469,"B21","P",2010,"BIS","A",72
470,"B22","P",2010,"BIS","A",52
471,"B23","P",2010,"BIS","A",48
472,"B24","P",2010,"BIS","A",30
473,"B25","P",2010,"BIS","A",41
474,"B26","P",2010,"BIS","A",79
475,"B27","P",2010,"BIS","A",84
476,"B28","P",2010,"BIS","A",62
477,"B29","P",2010,"BIS","A",70
478,"B30","P",2010,"BIS","A",79
479,"B31","P",2010,"BIS","A",67
480,"B32","P",2010,"BIS","A",72
481,"B33","P",2010,"BIS","A",89
482,"B34","P",2010,"BIS","A",73
483,"B35","P",2010,"BIS","A",57
484,"B36","P",2010,"BIS","A",64
485,"B37","P",2010,"BIS","A",31
486,"B38","P",2010,"BIS","A",30
487,"B39","P",2010,"BIS","A",25
488,"B40","P",2010,"BIS","A",38
489,"B41","P",2010,"BIS","A",50
490,"B42","P",2010,"BIS","A",40
491,"B43","P",2010,"BIS","A",29
492,"B44","P",2010,"BIS","A",33
493,"B45","P",2010,"BIS","A",31
494,"B46","P",2010,"BIS","A",18
495,"B47","P",2010,"BIS","A",58
496,"B48","P",2010,"BIS","A",28
497,"B49","P",2010,"BIS","A",34
498,"B50","P",2010,"BIS","A",36
499,"B51","P",2010,"BIS","A",30
500,"B52","P",2010,"BIS","A",30
501,"B53","P",2010,"BIS","A",27
502,"B54","P",2010,"BIS","A",26
503,"B55","P",2010,"BIS","A",35
504,"B56","P",2010,"BIS","A",46
505,"C01","P",2010,"BIS","A",88
506,"C02","P",2010,"BIS","A",93
507,"E01","P",2010,"BIS","A",95
508,"E02","P",2010,"BIS","A",61
509,"E03","P",2010,"BIS","A",67
510,"F01","P",2010,"BIS","A",8
511,"F03","P",2010,"BIS","A",8
512,"EEI","P",2010,"ACAS","A",64
513,"MW","P",2010,"ACAS","A",71
514,"OP","P",2010,"ACAS","A",91
515,"LM","P",2010,"ACAS","A",64
516,"MT","P",2010,"ACAS","A",77
517,"LD","P",2010,"ACAS","A",45
518,"IF","P",2010,"ACAS","A",75
519,"RW","P",2010,"ACAS","A",78
520,"PB","P",2010,"ACAS","A",32
521,"LC","P",2010,"ACAS","A",41
522,"B01","P",2010,"ACAS","A",90
523,"B02","P",2010,"ACAS","A",75
524,"B03","P",2010,"ACAS","A",76
525,"B04","P",2010,"ACAS","A",43
526,"B05","P",2010,"ACAS","A",69
527,"B06","P",2010,"ACAS","A",92
528,"B07","P",2010,"ACAS","A",88
529,"B08","P",2010,"ACAS","A",92
530,"B09","P",2010,"ACAS","A",62
531,"B10","P",2010,"ACAS","A",79
532,"B11","P",2010,"ACAS","A",74
533,"B12","P",2010,"ACAS","A",64
534,"B13","P",2010,"ACAS","A",65
535,"B14","P",2010,"ACAS","A",79
536,"B15","P",2010,"ACAS","A",68
537,"B16","P",2010,"ACAS","A",57
538,"B17","P",2010,"ACAS","A",62
539,"B18","P",2010,"ACAS","A",33
540,"B19","P",2010,"ACAS","A",86
541,"B20","P",2010,"ACAS","A",78
542,"B21","P",2010,"ACAS","A",67
543,"B22","P",2010,"ACAS","A",53
544,"B23","P",2010,"ACAS","A",56
545,"B24","P",2010,"ACAS","A",26
546,"B25","P",2010,"ACAS","A",44
547,"B26","P",2010,"ACAS","A",77
548,"B27","P",2010,"ACAS","A",84
549,"B28","P",2010,"ACAS","A",62
550,"B29","P",2010,"ACAS","A",75
551,"B30","P",2010,"ACAS","A",89
552,"B31","P",2010,"ACAS","A",76
553,"B32","P",2010,"ACAS","A",79
554,"B33","P",2010,"ACAS","A",91
555,"B34","P",2010,"ACAS","A",80
556,"B35","P",2010,"ACAS","A",59
557,"B36","P",2010,"ACAS","A",69
558,"B37","P",2010,"ACAS","A",32
559,"B38","P",2010,"ACAS","A",34
560,"B39","P",2010,"ACAS","A",30
561,"B40","P",2010,"ACAS","A",46
562,"B41","P",2010,"ACAS","A",45
563,"B42","P",2010,"ACAS","A",41
564,"B43","P",2010,"ACAS","A",39
565,"B44","P",2010,"ACAS","A",39
566,"B45","P",2010,"ACAS","A",28
567,"B46","P",2010,"ACAS","A",23
568,"B47","P",2010,"ACAS","A",66
569,"B48","P",2010,"ACAS","A",33
570,"B49","P",2010,"ACAS","A",48
571,"B50","P",2010,"ACAS","A",74
572,"B51","P",2010,"ACAS","A",51
573,"B52","P",2010,"ACAS","A",57
574,"B53","P",2010,"ACAS","A",50
575,"B54","P",2010,"ACAS","A",45
576,"B55","P",2010,"ACAS","A",41
577,"B56","P",2010,"ACAS","A",53
578,"C01","P",2010,"ACAS","A",86
579,"C02","P",2010,"ACAS","A",92
580,"E01","P",2010,"ACAS","A",56
581,"E02","P",2010,"ACAS","A",37
582,"E03","P",2010,"ACAS","A",56
583,"F01","P",2010,"ACAS","A",10
584,"F03","P",2010,"ACAS","A",11
585,"EEI","P",2010,"CH","A",61
586,"MW","P",2010,"CH","A",66
587,"OP","P",2010,"CH","A",88
588,"LM","P",2010,"CH","A",66
589,"MT","P",2010,"CH","A",78
590,"LD","P",2010,"CH","A",39
591,"IF","P",2010,"CH","A",74
592,"RW","P",2010,"CH","A",79
593,"PB","P",2010,"CH","A",38
594,"LC","P",2010,"CH","A",39
595,"B01","P",2010,"CH","A",83
596,"B02","P",2010,"CH","A",67
597,"B03","P",2010,"CH","A",68
598,"B04","P",2010,"CH","A",48
599,"B05","P",2010,"CH","A",63
600,"B06","P",2010,"CH","A",91
601,"B07","P",2010,"CH","A",85
602,"B08","P",2010,"CH","A",89
603,"B09","P",2010,"CH","A",64
604,"B10","P",2010,"CH","A",82
605,"B11","P",2010,"CH","A",76
606,"B12","P",2010,"CH","A",62
607,"B13","P",2010,"CH","A",68
608,"B14","P",2010,"CH","A",78
609,"B15","P",2010,"CH","A",66
610,"B16","P",2010,"CH","A",60
611,"B17","P",2010,"CH","A",66
612,"B18","P",2010,"CH","A",41
613,"B19","P",2010,"CH","A",86
614,"B20","P",2010,"CH","A",81
615,"B21","P",2010,"CH","A",68
616,"B22","P",2010,"CH","A",51
617,"B23","P",2010,"CH","A",42
618,"B24","P",2010,"CH","A",27
619,"B25","P",2010,"CH","A",38
620,"B26","P",2010,"CH","A",77
621,"B27","P",2010,"CH","A",84
622,"B28","P",2010,"CH","A",59
623,"B29","P",2010,"CH","A",77
624,"B30","P",2010,"CH","A",87
625,"B31","P",2010,"CH","A",68
626,"B32","P",2010,"CH","A",80
627,"B33","P",2010,"CH","A",87
628,"B34","P",2010,"CH","A",77
629,"B35","P",2010,"CH","A",74
630,"B36","P",2010,"CH","A",80
631,"B37","P",2010,"CH","A",37
632,"B38","P",2010,"CH","A",42
633,"B39","P",2010,"CH","A",36
634,"B40","P",2010,"CH","A",50
635,"B41","P",2010,"CH","A",37
636,"B42","P",2010,"CH","A",37
637,"B43","P",2010,"CH","A",44
638,"B44","P",2010,"CH","A",36
639,"B45","P",2010,"CH","A",31
640,"B46","P",2010,"CH","A",26
641,"B47","P",2010,"CH","A",54
642,"B48","P",2010,"CH","A",30
643,"B49","P",2010,"CH","A",40
644,"B50","P",2010,"CH","A",52
645,"B51","P",2010,"CH","A",60
646,"B52","P",2010,"CH","A",53
647,"B53","P",2010,"CH","A",44
648,"B54","P",2010,"CH","A",41
649,"B55","P",2010,"CH","A",35
650,"B56","P",2010,"CH","A",42
651,"C01","P",2010,"CH","A",84
652,"C02","P",2010,"CH","A",83
653,"E01","P",2010,"CH","A",58
654,"E02","P",2010,"CH","A",42
655,"E03","P",2010,"CH","A",54
656,"F01","P",2010,"CH","A",12
657,"F03","P",2010,"CH","A",10
658,"EEI","P",2010,"INSS","A",51
659,"MW","P",2010,"INSS","A",68
660,"OP","P",2010,"INSS","A",85
661,"LM","P",2010,"INSS","A",68
662,"MT","P",2010,"INSS","A",72
663,"LD","P",2010,"INSS","A",39
664,"IF","P",2010,"INSS","A",71
665,"RW","P",2010,"INSS","A",77
666,"PB","P",2010,"INSS","A",24
667,"LC","P",2010,"INSS","A",29
668,"B01","P",2010,"INSS","A",84
669,"B02","P",2010,"INSS","A",69
670,"B03","P",2010,"INSS","A",67
671,"B04","P",2010,"INSS","A",49
672,"B05","P",2010,"INSS","A",72
673,"B06","P",2010,"INSS","A",88
674,"B07","P",2010,"INSS","A",82
675,"B08","P",2010,"INSS","A",86
676,"B09","P",2010,"INSS","A",65
677,"B10","P",2010,"INSS","A",81
678,"B11","P",2010,"INSS","A",77
679,"B12","P",2010,"INSS","A",62
680,"B13","P",2010,"INSS","A",72
681,"B14","P",2010,"INSS","A",79
682,"B15","P",2010,"INSS","A",68
683,"B16","P",2010,"INSS","A",65
684,"B17","P",2010,"INSS","A",71
685,"B18","P",2010,"INSS","A",44
686,"B19","P",2010,"INSS","A",80
687,"B20","P",2010,"INSS","A",71
